Heure,Retard moyen (minutes)
00,Aucun vol
01,Aucun vol
02,Aucun vol
03,Aucun vol
04,Aucun vol
05,Aucun vol
06,Aucun vol
07,Aucun vol
08,Aucun vol
09,Aucun vol
10,Aucun vol
11,Aucun vol
12,Aucun vol
13,Aucun vol
14,Aucun vol
15,Aucun vol
16,Aucun vol
17,Aucun vol
18,Aucun vol
19,Aucun vol
20,Aucun vol
21,Aucun vol
22,Aucun vol
23,Aucun vol
